id,name,gpa,field_of_study,financial_aid,requirements
S44759,Eric Cox,3.27,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S922A7,Amanda Baker,2.97,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SFBAE7,Margaret Mckinney,2.05,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SC1E30,Tommy Wong,3.81,Physics,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S9BBC2,Tanya Swanson,3.45,Psychology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S3DA5D,Jane Summers,3.02,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SB88C3,Dustin Anderson,2.3,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S7B619,Steven Phillips,3.69,Business,"[""Dean's Merit Scholarship"", 'Business Leadership Scholarship']","['GPA ≥ 3.6', 'Field of Study in Business/Economics']"
SA4D49,Natasha Davis,2.07,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S1EA70,Kristin Lopez,3.23,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S6998C,John Morton,3.29,Statistics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S52A28,Lauren Watkins,2.72,Biology,['STEM Excellence Award'],['Field of Study in STEM']
SB609D,Julie Ellis,3.69,Biology,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S44CFC,Kayla Ortiz,2.43,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S65F4C,Samuel Figueroa,3.14,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SC0F2C,Leslie Hill,2.72,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S10EE2,Suzanne Taylor,3.04,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SA01DC,Chelsea Johnson,2.41,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S81299,Diamond Shields,2.26,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S0DF04,Jonathan Gonzalez,2.97,Education,['Public Service Grant'],['Field of Study in Public Service']
SFEDF7,Micheal Mason,3.88,Law,"['Presidential Scholarship', 'Legal Studies Full Ride']","['GPA ≥ 3.8', 'Field of Study in Legal Studies']"
S44AB4,John Paul,2.95,Physics,['STEM Excellence Award'],['Field of Study in STEM']
SD391D,Jessica Torres,3.12,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SD22BE,Daniel Lara,3.64,Biology,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S03FCC,Haley Robles,2.82,Education,['Public Service Grant'],['Field of Study in Public Service']
S11AC9,Christopher Riley,3.21,Social Work,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S5043E,Russell Smith,3.7,Economics,"[""Dean's Merit Scholarship"", 'Business Leadership Scholarship']","['GPA ≥ 3.6', 'Field of Study in Business/Economics']"
S112D5,Zachary Jones,2.34,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S70A1A,Maria Rodriguez,3.4,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S910AF,Daniel Gutierrez,2.15,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S97FB7,Michael Fowler,3.74,Anthropology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
SA76E6,Jeffrey Arroyo,2.68,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SDEEAB,Terri Terry,3.85,Biology,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S4A147,Dr. Eric Roberts II,3.93,Philosophy,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
S79417,Shannon Willis,2.56,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S2F8F9,Penny Mahoney,3.38,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S5FB88,Benjamin Mccoy,3.22,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S6B56D,Christopher Moore,3.56,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SA94EE,Nicholas Goodwin,3.87,Biology,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
SEA564,Linda Gibson,3.7,Economics,"[""Dean's Merit Scholarship"", 'Business Leadership Scholarship']","['GPA ≥ 3.6', 'Field of Study in Business/Economics']"
S3EFA0,Brandon Williams DDS,3.3,Economics,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
SEB28C,Alexis Ferguson,2.78,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
SCAB43,Eric Rivas,2.33,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S5D3AC,Robert Bean,3.19,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S44E17,Angela Taylor,2.36,IT,['STEM Excellence Award'],['Field of Study in STEM']
S7AB6E,Colin Davis,2.62,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S94F02,Wayne Velazquez,2.87,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SD70C6,William Walker,3.08,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SFEA3D,Sarah Hernandez,3.75,Music,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S3595C,Philip Curtis,2.89,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
S3BFFC,Courtney Snyder,2.94,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SEF7C7,Todd Clay,3.0,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S17A2C,Monique Hawkins,2.05,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
SEB2D5,Alexa Williams,2.98,Biology,['STEM Excellence Award'],['Field of Study in STEM']
S2EA2C,Jared Castillo,3.26,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SF6FA1,Tammy Williams,2.48,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S2BA5A,Gerald Knight,2.97,Education,['Public Service Grant'],['Field of Study in Public Service']
SD4AAC,Andrew Lee,3.91,English,"['Presidential Scholarship', 'Liberal Arts Fellowship']","['GPA ≥ 3.8', 'Field of Study in Liberal Arts']"
SAC09C,Evan Simpson,2.67,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S2934E,Vanessa Cross,3.57,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SE560A,Steven Thomas,2.33,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S552CC,Brian Bell,3.34,Nursing,"['Academic Achievement Grant', 'Public Service Grant']","['GPA ≥ 3.2', 'Field of Study in Public Service']"
SC8D9B,Chelsea Steele,2.21,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SE9B7C,Frank Skinner,2.64,Physics,['STEM Excellence Award'],['Field of Study in STEM']
SE8270,Dr. Brian Miller,3.85,Law,"['Presidential Scholarship', 'Legal Studies Full Ride']","['GPA ≥ 3.8', 'Field of Study in Legal Studies']"
S251C0,Frank Brown,2.75,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S86E38,Sharon Chang,3.26,IT,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SD5A56,Kevin Rhodes,3.52,Chemistry,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S80D22,Jacob Freeman,3.63,Nursing,"[""Dean's Merit Scholarship"", 'Public Service Grant']","['GPA ≥ 3.6', 'Field of Study in Public Service']"
SE8867,Charles Guerra,3.29,Business,"['Academic Achievement Grant', 'Business Leadership Scholarship']","['GPA ≥ 3.2', 'Field of Study in Business/Economics']"
S95413,Darrell Castro,3.67,IT,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
SEDDF9,Christina Becker,2.72,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S7C666,Amanda Miller,2.35,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SE2BF4,Tammy Mckinney,3.36,Philosophy,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SBE68E,Bryan Ryan,2.45,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S58188,Lauren Lynch,3.6,Law,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
SC0670,Angela Hubbard,2.75,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S25F2D,Alicia Campbell,2.46,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S37E94,Brady Kane,3.15,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
SA0BA3,Roberto Terry,3.58,Social Work,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S174BD,Jose Wade,2.25,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SF853D,Johnny White,3.64,Psychology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S40CBC,Mitchell Soto,3.61,Statistics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S3F53C,Breanna Jones,3.16,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SD1626,David Bell,2.07,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S52325,Dr. Jeffery Franklin,3.15,IT,['STEM Excellence Award'],['Field of Study in STEM']
SAA440,Madison Mcdonald,3.52,Psychology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SAC2DE,Richard Fleming,3.6,Philosophy,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S07EB6,Andre Ingram,2.71,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
S2D233,Sara Brown,2.99,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S5636F,Daryl Moore,2.23,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S3215C,Stacy Burch,2.43,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S84340,Erica Snyder,3.65,Social Work,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S09350,Todd Williams,2.6,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S7B0E1,Paula Sanchez,3.13,Education,['Public Service Grant'],['Field of Study in Public Service']
S58102,John Sanchez,3.55,Mathematics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S970B7,Kathryn Kelly,2.75,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S5F0EB,Eric Gonzales,2.98,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S72C64,Jose Carter,3.33,Chemistry,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SC3AA1,John Beard,3.15,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S7D13F,David Sparks,3.71,Sociology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
S4A729,Eric Wells,2.7,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S509BC,Brandon Pham,3.71,Law,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
SCCCE4,Laura Mcclure,3.57,Biology,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S8C02A,Alyssa Gregory,3.51,Engineering,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S41906,Brad Kelly Jr.,2.04,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
SACBF2,Micheal Jefferson,3.12,Statistics,['STEM Excellence Award'],['Field of Study in STEM']
SC19BA,Cynthia Davis,3.87,Anthropology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
SE07AC,William Holmes,3.45,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SA4399,Michael Sanchez,2.9,Sociology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S2A1D3,Anthony Perry,2.48,Education,['Public Service Grant'],['Field of Study in Public Service']
S53F6E,Timothy Walker,3.65,Biology,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S9FF1A,Laura Hughes,2.14,Engineering,['STEM Excellence Award'],['Field of Study in STEM']
S65635,Timothy Brown,3.81,Biology,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
S853C3,Matthew White,3.38,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SCFFB2,Jessica Martinez,3.92,Psychology,"['Presidential Scholarship', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.8', 'Field of Study in Behavioral and Social Sciences']"
S3E0E7,Leroy West,2.38,Social Work,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S32B2D,Mark Rivera,2.32,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SC356B,Keith Booth,2.81,Law,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SFDF5C,Aaron Hughes,3.58,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
SA9607,Debra Wright,3.15,English,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S13315,Sonya Clayton,3.73,Anthropology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
SDDDEA,Michael Roman DDS,2.66,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S20C4C,Johnny Nelson,2.09,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
SE3590,John Johnson,3.02,Nursing,['Public Service Grant'],['Field of Study in Public Service']
S86B85,Alexander Green,3.51,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SDFB3B,Laura Mills DDS,2.04,Paralegal,['Legal Studies Full Ride'],['Field of Study in Legal Studies']
SFD13E,Jonathan Craig,3.37,Engineering,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SA38A2,Ashley Collins,2.43,Art,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S24CBF,David Friedman,2.96,Education,['Public Service Grant'],['Field of Study in Public Service']
S1666B,Linda Cherry,3.59,Computer Science,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
SA1187,Lori Davis,3.77,History,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
SB6118,Jessica Howard,3.76,Engineering,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S211CA,Rebecca Kramer,2.03,Anthropology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
SBC384,Matthew Smith,3.32,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S16091,Timothy Rodriguez,2.35,Chemistry,['STEM Excellence Award'],['Field of Study in STEM']
S14EC7,Christopher Peters,3.47,Anthropology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
S7565E,Andrew Griffith,3.37,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
SF99A9,Jonathan Arellano,3.65,Computer Science,"[""Dean's Merit Scholarship"", 'STEM Excellence Award', 'STEM Leadership Award']","['GPA ≥ 3.6', 'Field of Study in STEM', 'GPA ≥ 3.6 + STEM Field']"
S11CA2,Janet Floyd,2.11,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S70F6E,Douglas Smith,3.63,Law,"[""Dean's Merit Scholarship"", 'Legal Studies Full Ride']","['GPA ≥ 3.6', 'Field of Study in Legal Studies']"
S467E5,Dean Davis,3.47,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S068C4,Kayla Smith,3.56,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
SC482A,Alexandra Montes,3.66,Art,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
S0F6F7,Erin Flores,3.44,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S5AE36,William Foster,3.3,Art,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S5C9BB,Sarah Perkins,2.2,Music,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S7AD68,Susan Hale,3.71,English,"[""Dean's Merit Scholarship"", 'Liberal Arts Fellowship']","['GPA ≥ 3.6', 'Field of Study in Liberal Arts']"
SF8C33,Stefanie Hill,3.36,History,"['Academic Achievement Grant', 'Liberal Arts Fellowship']","['GPA ≥ 3.2', 'Field of Study in Liberal Arts']"
S53032,Shelly Gill,2.75,Computer Science,['STEM Excellence Award'],['Field of Study in STEM']
S24186,Anthony Ford,2.22,Psychology,['Behavioral and Social Sciences Grant'],['Field of Study in Behavioral and Social Sciences']
S8BF86,Alan Lawson,3.55,Law,"['Academic Achievement Grant', 'Legal Studies Full Ride']","['GPA ≥ 3.2', 'Field of Study in Legal Studies']"
S856EE,Jessica Butler,3.13,Philosophy,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S2F6E4,William Combs,2.38,Business,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S3FE04,Victor Moore,2.7,Physics,['STEM Excellence Award'],['Field of Study in STEM']
S7251E,Wendy Jennings,2.85,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
S2AAFF,Kara Jensen,3.94,Statistics,"['Presidential Scholarship', 'STEM Excellence Award']","['GPA ≥ 3.8', 'Field of Study in STEM']"
SA204A,Brandon Johnson,2.02,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
SE71B2,Michelle Jackson,2.53,History,['Liberal Arts Fellowship'],['Field of Study in Liberal Arts']
S5E2AD,Jeffrey Warren,3.24,Physics,"['Academic Achievement Grant', 'STEM Excellence Award']","['GPA ≥ 3.2', 'Field of Study in STEM']"
S8CE7D,Terry Jefferson,3.53,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SB36CC,Charles Mitchell,3.79,Physics,"[""Dean's Merit Scholarship"", 'STEM Excellence Award']","['GPA ≥ 3.6', 'Field of Study in STEM']"
S039C5,Sheri Padilla,3.75,Psychology,"[""Dean's Merit Scholarship"", 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.6', 'Field of Study in Behavioral and Social Sciences']"
SEBFF1,Eric Thomas,3.35,Sociology,"['Academic Achievement Grant', 'Behavioral and Social Sciences Grant']","['GPA ≥ 3.2', 'Field of Study in Behavioral and Social Sciences']"
SDCAD1,Angela Goodwin,2.51,Mathematics,['STEM Excellence Award'],['Field of Study in STEM']
S620F5,Matthew Osborne,2.34,Economics,['Business Leadership Scholarship'],['Field of Study in Business/Economics']
